locality,canton
Schönenbuch,Bâle-Campagne
Seltisberg,Bâle-Campagne
Sissach,Bâle-Campagne
Tecknau,Bâle-Campagne
Tenniken,Bâle-Campagne
Therwil,Bâle-Campagne
Thürnen,Bâle-Campagne
Titterten,Bâle-Campagne
Wahlen b. Laufen,Bâle-Campagne
Waldenburg,Bâle-Campagne
Wenslingen,Bâle-Campagne
Wintersingen,Bâle-Campagne
Wisen SO,Bâle-Campagne
Wittinsburg,Bâle-Campagne
Zeglingen,Bâle-Campagne
Ziefen,Bâle-Campagne
Zunzgen,Bâle-Campagne
Zwingen,Bâle-Campagne
Basel,Bâle-Ville
Bettingen,Bâle-Ville
Riehen,Bâle-Ville
Abländschen,Fribourg
Agriswil,Fribourg
Albeuve,Fribourg
Alterswil FR,Fribourg
Arconciel,Fribourg
Attalens,Fribourg
Auboranges,Fribourg
Aumont,Fribourg
Autafond,Fribourg
Autavaux,Fribourg
Autigny,Fribourg
Avenches,Fribourg
Avry-devant-Pont,Fribourg
Avry-sur-Matran,Fribourg
Barberêche,Fribourg
Belfaux,Fribourg
Berlens,Fribourg
Besencens,Fribourg
Billens,Fribourg
Bionnens,Fribourg
Blessens,Fribourg
Bollion,Fribourg
Bonnefontaine,Fribourg
Bossonnens,Fribourg
Botterens,Fribourg
Bouloz,Fribourg
Bourguillon,Fribourg
Broc,Fribourg
Brünisried,Fribourg
Bulle,Fribourg
Bussy FR,Fribourg
Bösingen,Fribourg
Büchslen,Fribourg
Cerniat FR,Fribourg
Chandon,Fribourg
Chapelle (Broye),Fribourg
Chapelle (Glâne),Fribourg
Charmey (Gruyère),Fribourg
Chavannes-les-Forts,Fribourg
Chavannes-sous-Orsonnens,Fribourg
Cheiry,Fribourg
Cheyres,Fribourg
Châbles FR,Fribourg
Châtel-St-Denis,Fribourg
Châtel-sur-Montsalvens,Fribourg
Châtillon FR,Fribourg
Châtonnaye,Fribourg
Chénens,Fribourg
Chésopelloz,Fribourg
Clavaleyres,Fribourg
Corbières,Fribourg
Corcelles-près-Payerne,Fribourg
Cordast,Fribourg
Corjolens,Fribourg
Cormagens,Fribourg
Corminboeuf,Fribourg
Cormérod,Fribourg
Corpataux,Fribourg
Corserey,Fribourg
Cottens FR,Fribourg
Courgevaux,Fribourg
Courlevon,Fribourg
Cournillens,Fribourg
Courtaman,Fribourg
Courtepin,Fribourg
Courtion,Fribourg
Cousset,Fribourg
Cressier FR,Fribourg
Crésuz,Fribourg
Cugy FR,Fribourg
Delley,Fribourg
Domdidier,Fribourg
Dompierre FR,Fribourg
Düdingen,Fribourg
Echarlens,Fribourg
Ecublens FR,Fribourg
Ecuvillens,Fribourg
Enney,Fribourg
Epagny,Fribourg
Ependes FR,Fribourg
Esmonts,Fribourg
Essert FR,Fribourg
Estavannens,Fribourg
Estavayer-le-Gibloux,Fribourg
Estavayer-le-Lac,Fribourg
Estévenens,Fribourg
Farvagny-le-Grand,Fribourg
Farvagny-le-Petit,Fribourg
Ferpicloz,Fribourg
Fiaugères,Fribourg
Flamatt,Fribourg
Font,Fribourg
Forel FR,Fribourg
Formangueires,Fribourg
Frasses,Fribourg
Fribourg,Fribourg
Fräschels,Fribourg
Fétigny,Fribourg
Galmiz,Fribourg
Gampelen,Fribourg
Gempenach,Fribourg
Giffers,Fribourg
Gillarens,Fribourg
Givisiez,Fribourg
Gletterens,Fribourg
Golaten,Fribourg
Grandsivaz,Fribourg
Grandvillard,Fribourg
Granges (Veveyse),Fribourg
Granges-Paccot,Fribourg
Granges-de-Vesin,Fribourg
Grangettes-près-Romont,Fribourg
Grattavache,Fribourg
Greng,Fribourg
Grenilles,Fribourg
Grolley,Fribourg
Gruyères,Fribourg
Gumefens,Fribourg
Gurmels,Fribourg
Guschelmuth,Fribourg
Gümmenen,Fribourg
Hauteville,Fribourg
Heitenried,Fribourg
Hennens,Fribourg
Im Fang,Fribourg
Jaun,Fribourg
Jeuss,Fribourg
Kerzers,Fribourg
Kleinbösingen,Fribourg
Kleingurmels,Fribourg
Kriechenwil,Fribourg
La Corbaz,Fribourg
La Joux FR,Fribourg
La Magne,Fribourg
La Neirigue,Fribourg
La Roche FR,Fribourg
La Tour-de-Trême,Fribourg
La Verrerie,Fribourg
Le Bry,Fribourg
Le Châtelard-près-Romont,Fribourg
Le Crêt-près-Semsales,Fribourg
Le Mouret,Fribourg
Le Pâquier-Montbarry,Fribourg
Lentigny,Fribourg
Les Ecasseys,Fribourg
Les Friques,Fribourg
Les Monts-de-Corsier,Fribourg
Les Paccots,Fribourg
Les Sciernes-d'Albeuve,Fribourg
Lessoc,Fribourg
Liebistorf,Fribourg
Lieffrens,Fribourg
Lossy,Fribourg
Lovens,Fribourg
Lugnorre,Fribourg
Lully FR,Fribourg
Lurtigen,Fribourg
Lussy FR,Fribourg
Léchelles,Fribourg
Magnedens,Fribourg
Mannens,Fribourg
Marly,Fribourg
Marsens,Fribourg
Massonnens,Fribourg
Matran,Fribourg
Maules,Fribourg
Meyriez,Fribourg
Middes,Fribourg
Misery,Fribourg
Moléson-sur-Gruyères,Fribourg
Montagny-la-Ville,Fribourg
Montagny-les-Monts,Fribourg
Montbovon,Fribourg
Montbrelloz,Fribourg
Montet (Broye),Fribourg
Montet (Glâne),Fribourg
Montévraz,Fribourg
Morens FR,Fribourg
Morlens,Fribourg
Morlon,Fribourg
Mossel,Fribourg
Muntelier,Fribourg
Mur (Vully) FR,Fribourg
Murist,Fribourg
Murten,Fribourg
Ménières,Fribourg
Mézières FR,Fribourg
Môtier (Vully),Fribourg
Neirivue,Fribourg
Neyruz FR,Fribourg
Nierlet-les-Bois,Fribourg
Noréaz,Fribourg
Nuvilly,Fribourg
Oberried FR,Fribourg
Oberschrot,Fribourg
Oleyres,Fribourg
Onnens FR,Fribourg
Orsonnens,Fribourg
Pensier,Fribourg
Pierrafortscha,Fribourg
Plaffeien,Fribourg
Plasselb,Fribourg
Pont (Veveyse),Fribourg
Pont-la-Ville,Fribourg
Ponthaux,Fribourg
Porsel,Fribourg
Portalban,Fribourg
Posat,Fribourg
Posieux,Fribourg
Praratoud,Fribourg
Praz (Vully),Fribourg
Prez-vers-Noréaz,Fribourg
Prez-vers-Siviriez,Fribourg
Pringy,Fribourg
Progens,Fribourg
Promasens,Fribourg
Prévondavaux,Fribourg
Rechthalten,Fribourg
Remaufens,Fribourg
Riaz,Fribourg
Ried b. Kerzers,Fribourg
Romanens,Fribourg
Romont FR,Fribourg
Rossens FR,Fribourg
Rue,Fribourg
Rueyres-St-Laurent,Fribourg
Rueyres-Treyfayes,Fribourg
Rueyres-les-Prés,Fribourg
Russy,Fribourg
Salvenach,Fribourg
Sangernboden,Fribourg
Sassel,Fribourg
Schmitten FR,Fribourg
Schwarzsee,Fribourg
Seigneux,Fribourg
Seiry,Fribourg
Semsales,Fribourg
Senèdes,Fribourg
Siviriez,Fribourg
Sommentier,Fribourg
Sorens,Fribourg
St-Aubin FR,Fribourg
St-Martin FR,Fribourg
St. Antoni,Fribourg
St. Silvester,Fribourg
St. Ursen,Fribourg
Sugiez,Fribourg
Surpierre,Fribourg
Sâles (Gruyère),Fribourg
Sévaz,Fribourg
Tafers,Fribourg
Tatroz,Fribourg
Tentlingen,Fribourg
Torny-le-Grand,Fribourg
Treyvaux,Fribourg
Ueberstorf,Fribourg
Ulmiz,Fribourg
Ursy,Fribourg
Vallon,Fribourg
Vauderens,Fribourg
Vaulruz,Fribourg
Vesin,Fribourg
Villaraboud,Fribourg
Villarbeney,Fribourg
Villarepos,Fribourg
Villargiroud,Fribourg
Villariaz,Fribourg
Villarimboud,Fribourg
Villarlod,Fribourg
Villars-sous-Mont,Fribourg
Villars-sur-Glâne,Fribourg
Villarsel-le-Gibloux,Fribourg
Villarsel-sur-Marly,Fribourg
Villarsiviriaux,Fribourg
Villarvolard,Fribourg
Villaz-St-Pierre,Fribourg
Villeneuve FR,Fribourg
Vuadens,Fribourg
Vuarmarens,Fribourg
Vuippens,Fribourg
Vuissens,Fribourg
Vuisternens-devant-Romont,Fribourg
Vuisternens-en-Ogoz,Fribourg
Vulliens,Fribourg
Wallenbuch,Fribourg
Wallenried,Fribourg
Wileroltigen,Fribourg
Wünnewil,Fribourg
Zumholz,Fribourg
Zénauva,Fribourg
Aire-la-Ville,Genève
Anières,Genève
Athenaz (Avusy),Genève
Avully,Genève
Aïre,Genève
Bellevue,Genève
Bernex,Genève
Carouge GE,Genève
Cartigny,Genève
Chambésy,Genève
Chancy,Genève
Choulex,Genève
Châtelaine,Genève
Chêne-Bougeries,Genève
Chêne-Bourg,Genève
Cointrin,Genève
Collex,Genève
Collonge-Bellerive,Genève
Cologny,Genève
Conches,Genève
Confignon,Genève
Corsier GE,Genève
Céligny,Genève
Dardagny,Genève
Genthod,Genève
Genève,Genève
Grand-Lancy,Genève
Gy,Genève
Hermance,Genève
Jussy,Genève
La Croix-de-Rozon,Genève
La Plaine,Genève
Laconnex,Genève
Le Grand-Saconnex,Genève
Le Lignon,Genève
Les Acacias,Genève
Les Avanchets,Genève
Meinier,Genève
Meyrin,Genève
Onex,Genève
Perly,Genève
Petit-Lancy,Genève
Plan-les-Ouates,Genève
Presinge,Genève
Puplinge,Genève
Russin,Genève
Satigny,Genève
Soral,Genève
Thônex,Genève
Troinex,Genève
Vandoeuvres,Genève
Vernier,Genève
Versoix,Genève
Vessy,Genève
Veyrier,Genève
Vésenaz,Genève
Betschwanden,Glaris
Bilten,Glaris
Braunwald,Glaris
Diesbach GL,Glaris
Elm,Glaris
Engi,Glaris
Ennenda,Glaris
Filzbach,Glaris
Glarus,Glaris
Haslen GL,Glaris
Hätzingen,Glaris
Klöntal,Glaris
Leuggelbach,Glaris
Linthal,Glaris
Luchsingen,Glaris
Matt,Glaris
Mitlödi,Glaris
Mollis,Glaris
Mühlehorn,Glaris
Netstal,Glaris
Nidfurn,Glaris
Niederurnen,Glaris
Näfels,Glaris
Oberurnen,Glaris
Obstalden,Glaris
Riedern,Glaris
Rüti GL,Glaris
Schwanden GL,Glaris
Schwändi b. Schwanden,Glaris
Sool,Glaris
Weesen,Glaris
Ziegelbrücke,Glaris
Almens,Grisons
Alp Grüm,Grisons
Alvaneu Bad,Grisons
Alvaneu Dorf,Grisons
Alvaschein,Grisons
Andeer,Grisons
Andiast,Grisons
Ardez,Grisons
Arosa,Grisons
Arvigo,Grisons
Ascharina,Grisons
Augio,Grisons
Ausserferrera,Grisons
Avers,Grisons
Bergün/Bravuogn,Grisons
Bever,Grisons
Bivio,Grisons
Bonaduz,Grisons
Bondo,Grisons
Borgonovo,Grisons
Braggio,Grisons
Brail,Grisons
Breil/Brigels,Grisons
Brienz/Brinzauls GR,Grisons
Brusio,Grisons
Buchen im Prättigau,Grisons
Buseno,Grisons
Calfreisen,Grisons
Cama,Grisons
Camischolas,Grisons
Campascio,Grisons
Campocologno,Grisons
Camuns,Grisons
Casaccia,Grisons
Castaneda,Grisons
Castasegna,Grisons
Castiel,Grisons
Castrisch,Grisons
Cauco,Grisons
Cavardiras,Grisons
Cazis,Grisons
Celerina/Schlarigna,Grisons
Champfèr,Grisons
Chapella,Grisons
Chur,Grisons
Churwalden,Grisons
Cinuos-chel,Grisons
Clugin,Grisons
Conters im Prättigau,Grisons
Cumbel,Grisons
Cumpadials,Grisons
Cunter,Grisons
Curaglia,Grisons
Dalin,Grisons
Danis,Grisons
Dardin,Grisons
Davos Clavadel,Grisons
Davos Dorf,Grisons
Davos Frauenkirch,Grisons
Davos Glaris,Grisons
Davos Monstein,Grisons
Davos Platz,Grisons
Davos Wiesen,Grisons
Davos Wolfgang,Grisons
Degen,Grisons
Disentis/Mustér,Grisons
Domat/Ems,Grisons
Donat,Grisons
Duvin,Grisons
Fajauna,Grisons
Falera,Grisons
Fanas,Grisons
Feldis/Veulden,Grisons
Felsberg,Grisons
Fex,Grisons
Fidaz,Grisons
Fideris,Grisons
Filisur,Grisons
Flerden,Grisons
Flims Dorf,Grisons
Flims Waldhaus,Grisons
Flond,Grisons
Fläsch,Grisons
Ftan,Grisons
Fuldera,Grisons
Furna,Grisons
Fürstenau,Grisons
Fürstenaubruck,Grisons
Gadenstätt,Grisons
Grono,Grisons
Grüsch,Grisons
Guarda,Grisons
Haldenstein,Grisons
Hinterrhein,Grisons
Igis,Grisons
Ilanz,Grisons
Innerferrera,Grisons
Jenaz,Grisons
Jenins,Grisons
Juf,Grisons
Klosters,Grisons
Klosters Dorf,Grisons
Küblis,Grisons
La Punt Chamues-ch,Grisons
La Rösa,Grisons
Laax GR,Grisons
Laax GR 2,Grisons
Ladir,Grisons
Landquart,Grisons
Langwies,Grisons
Lantsch/Lenz,Grisons
Latsch,Grisons
Laura,Grisons
Lavin,Grisons
Le Prese,Grisons
Leggia,Grisons
Lenzerheide/Lai,Grisons
Li Curt,Grisons
Litzirüti,Grisons
Lohn GR,Grisons
Lostallo,Grisons
Lumbrein,Grisons
Lumino,Grisons
Lunden,Grisons
Luven,Grisons
Luzein,Grisons
Lü,Grisons
Lüen,Grisons
Madulain,Grisons
Maienfeld,Grisons
Maladers,Grisons
Malans GR,Grisons
Malix,Grisons
Maloja,Grisons
Marmorera,Grisons
Martina,Grisons
Masein,Grisons
Mastrils,Grisons
Mathon,Grisons
Medels im Rheinwald,Grisons
Mesocco,Grisons
Miralago,Grisons
Molinis,Grisons
Mon,Grisons
Morissen,Grisons
Mulegns,Grisons
Mumpé Medel,Grisons
Mutten,Grisons
Müstair,Grisons
Nufenen,Grisons
Obermutten,Grisons
Obersaxen,Grisons
Ospizio Bernina,Grisons
Pagig,Grisons
Pany,Grisons
Parpan,Grisons
Parsonz,Grisons
Paspels,Grisons
Passugg,Grisons
Peiden,Grisons
Peist,Grisons
Pignia,Grisons
Pigniu,Grisons
Pitasch,Grisons
Platta,Grisons
Plaun da Lej,Grisons
Pontresina,Grisons
Portein,Grisons
Poschiavo,Grisons
Praden,Grisons
Pragg-Jenaz,Grisons
Pratval,Grisons
Preda,Grisons
Promontogno,Grisons
Präz,Grisons
Pusserein,Grisons
Putz,Grisons
Rabius,Grisons
Ramosch,Grisons
Rhäzüns,Grisons
Riein,Grisons
Riom,Grisons
Rodels,Grisons
Rona,Grisons
Rongellen,Grisons
Rossa,Grisons
Rothenbrunnen,Grisons
Roveredo GR,Grisons
Rueras,Grisons
Rueun,Grisons
Ruschein,Grisons
S-chanf,Grisons
S. Benedetg,Grisons
S. Bernardino,Grisons
S. Carlo (Poschiavo),Grisons
S. Vittore,Grisons
Saas im Prättigau,Grisons
Safien Platz,Grisons
Sagogn,Grisons
Salouf,Grisons
Samedan,Grisons
Samnaun Dorf,Grisons
Samnaun-Compatsch,Grisons
Sarn,Grisons
Savognin,Grisons
Says,Grisons
Scharans,Grisons
Scheid,Grisons
Schiers,Grisons
Schlans,Grisons
Schluein,Grisons
Schmitten (Albula),Grisons
Schnaus,Grisons
Schuders,Grisons
Scuol,Grisons
Sedrun,Grisons
Seewis Dorf,Grisons
Seewis-Pardisla,Grisons
Seewis-Schmitten,Grisons
Segnas,Grisons
Selma,Grisons
Sent,Grisons
Serneus,Grisons
Sevgein,Grisons
Sfazù,Grisons
Siat,Grisons
Sils im Domleschg,Grisons
Sils/Segl Baselgia,Grisons
Sils/Segl Maria,Grisons
Silvaplana,Grisons
Silvaplana-Surlej,Grisons
Soazza,Grisons
Soglio,Grisons
Splügen,Grisons
St. Antönien,Grisons
St. Margrethenberg,Grisons
St. Martin (Lugnez),Grisons
St. Moritz,Grisons
St. Peter,Grisons
Sta. Domenica,Grisons
Sta. Maria Val Müstair,Grisons
Sta. Maria in Calanca,Grisons
Stampa,Grisons
Stels,Grisons
Stierva,Grisons
Strada,Grisons
Stugl/Stuls,Grisons
Sufers,Grisons
Summaprada,Grisons
Sumvitg,Grisons
Sur,Grisons
Surava,Grisons
Surcasti,Grisons
Surcuolm,Grisons
Surrein,Grisons
Susch,Grisons
Tamins,Grisons
Tarasp,Grisons
Tartar,Grisons
Tavanasa,Grisons
Tenna,Grisons
Tersnaus,Grisons
Thalkirch,Grisons
Thusis,Grisons
Tiefencastel,Grisons
Tinizong,Grisons
Trans,Grisons
Trimmis,Grisons
Trin,Grisons
Trin Mulin,Grisons
Trun,Grisons
Tschappina,Grisons
Tschiertschen,Grisons
Tschierv,Grisons
Tschlin,Grisons
Tumegl/Tomils,Grisons
Untervaz,Grisons
Uors (Lumnezia),Grisons
Urmein,Grisons
Valbella,Grisons
Valchava,Grisons
Valendas,Grisons
Vals,Grisons
Valzeina,Grisons
Vattiz,Grisons
Vaz/Obervaz,Grisons
Vella,Grisons
Verdabbio,Grisons
Versam,Grisons
Viano,Grisons
Vicosoprano,Grisons
Vignogn,Grisons
Vnà,Grisons
Vrin,Grisons
Vulpera,Grisons
Vättis,Grisons
Waltensburg/Vuorz,Grisons
Wergenstein,Grisons
Zernez,Grisons
Zignau,Grisons
Zillis,Grisons
Zizers,Grisons
Zuoz,Grisons
Alle,Jura
Asuel,Jura
Bassecourt,Jura
Beurnevésin,Jura
Boncourt,Jura
Bonfol,Jura
Bourrignon,Jura
Boécourt,Jura
Bressaucourt,Jura
Buix,Jura
Bure,Jura
Charmoille,Jura
Chevenez,Jura
Châtillon JU,Jura
Coeuve,Jura
Corban,Jura
Cornol,Jura
Courcelon,Jura
Courchapoix,Jura
Courchavon,Jura
Courfaivre,Jura
Courgenay,Jura
Courrendlin,Jura
Courroux,Jura
Courtedoux,Jura
Courtemautruy,Jura
Courtemaîche,Jura
Courtételle,Jura
Damphreux,Jura
Damvant,Jura
Delémont,Jura
Develier,Jura
Ederswiler,Jura
Epauvillers,Jura
Epiquerez,Jura
Fahy,Jura
Fontenais,Jura
Fornet-Dessus,Jura
Fregiécourt,Jura
Glovelier,Jura
Goumois,Jura
Grandfontaine,Jura
La Chaux-des-Breuleux,Jura
La Ferrière,Jura
Lajoux JU,Jura
Le Bémont JU,Jura
Le Cerneux-Veusil,Jura
Le Noirmont,Jura
Le Peuchapatte,Jura
Le Prédame,Jura
Les Bois,Jura
Les Breuleux,Jura
Les Ecorcheresses,Jura
Les Emibois,Jura
Les Enfers,Jura
Les Genevez JU,Jura
Les Pommerats,Jura
Lucelle,Jura
Lugnez,Jura
Mervelier,Jura
Mettembert,Jura
Miécourt,Jura
Montavon,Jura
Montenol,Jura
Montfaucon,Jura
Montfavergier,Jura
Montignez,Jura
Montmelon,Jura
Montsevelier,Jura
Moutier,Jura
Movelier,Jura
Muriaux,Jura
Ocourt,Jura
Pleigne,Jura
Pleujouse,Jura
Porrentruy,Jura
Rebeuvelier,Jura
Roche-d'Or,Jura
Rocourt,Jura
Roggenburg,Jura
Rossemaison,Jura
Réclère,Jura
Saignelégier,Jura
Saulcy,Jura
Seleute,Jura
Soubey,Jura
Soulce,Jura
Soyhières,Jura
St-Brais,Jura
St-Ursanne,Jura
Undervelier,Jura
Vellerat,Jura
Vendlincourt,Jura
Vermes,Jura
Vicques,Jura
Villars-sur-Fontenais,Jura
Adligenswil,Lucerne
Aesch LU,Lucerne
Alberswil,Lucerne
Altbüron,Lucerne
Altishofen,Lucerne
Altwis,Lucerne
Baldegg,Lucerne
Ballwil,Lucerne
Beromünster,Lucerne
Bramboden,Lucerne
Buchrain,Lucerne
Buchs LU,Lucerne
Buttisholz,Lucerne
Büron,Lucerne
Dagmersellen,Lucerne
Daiwil,Lucerne
Dierikon,Lucerne
Doppleschwand,Lucerne
Ebersecken,Lucerne
Ebikon,Lucerne
Ebnet,Lucerne
Egolzwil,Lucerne
Eich,Lucerne
Eigenthal,Lucerne
Emmen,Lucerne
Emmenbrücke,Lucerne
Entlebuch,Lucerne
Eriswil,Lucerne
Ermensee,Lucerne
Eschenbach LU,Lucerne
Escholzmatt,Lucerne
Ettiswil,Lucerne
Finsterwald b. Entlebuch,Lucerne
Fischbach LU,Lucerne
Flühli LU,Lucerne
Fontannen b. Wolhusen,Lucerne
Geiss,Lucerne
Gelfingen,Lucerne
Gettnau,Lucerne
Geuensee,Lucerne
Gisikon,Lucerne
Gondiswil,Lucerne
Greppen,Lucerne
Grossdietwil,Lucerne
Grosswangen,Lucerne
Gunzwil,Lucerne
Hasle LU,Lucerne
Hellbühl,Lucerne
Hergiswil NW,Lucerne
Hergiswil b. Willisau,Lucerne
Herlisberg,Lucerne
Hildisrieden,Lucerne
Hintermoos,Lucerne
Hitzkirch,Lucerne
Hochdorf,Lucerne
Hofstatt,Lucerne
Hohenrain,Lucerne
Honau,Lucerne
Horw,Lucerne
Hämikon,Lucerne
Hüswil,Lucerne
Inwil,Lucerne
Kaltbach,Lucerne
Kastanienbaum,Lucerne
Kehrsiten,Lucerne
Kleinwangen,Lucerne
Knutwil,Lucerne
Kottwil,Lucerne
Kriens,Lucerne
Kulmerau,Lucerne
Langnau b. Reiden,Lucerne
Lieli LU,Lucerne
Luthern,Lucerne
Luthern Bad,Lucerne
Luzern,Lucerne
Malters,Lucerne
Marbach LU,Lucerne
Mauensee,Lucerne
Meggen,Lucerne
Mehlsecken,Lucerne
Meierskappel,Lucerne
Menzberg,Lucerne
Menznau,Lucerne
Mosen,Lucerne
Müswangen,Lucerne
Nebikon,Lucerne
Neudorf,Lucerne
Neuenkirch,Lucerne
Nottwil,Lucerne
Oberkirch LU,Lucerne
Obernau,Lucerne
Ohmstal,Lucerne
Perlen,Lucerne
Pfaffnau,Lucerne
Pfeffikon LU,Lucerne
Rain,Lucerne
Reiden,Lucerne
Reidermoos,Lucerne
Rengg,Lucerne
Retschwil,Lucerne
Richenthal,Lucerne
Rickenbach LU,Lucerne
Rigi Kaltbad,Lucerne
Roggliswil,Lucerne
Rohrmatt,Lucerne
Romoos,Lucerne
Root,Lucerne
Root D4,Lucerne
Rothenburg,Lucerne
Ruswil,Lucerne
Römerswil LU,Lucerne
Schachen LU,Lucerne
Schangnau,Lucerne
Schenkon,Lucerne
Schlierbach,Lucerne
Schongau,Lucerne
Schwarzenbach LU,Lucerne
Schwarzenberg LU,Lucerne
Schötz,Lucerne
Schüpfheim,Lucerne
Sempach,Lucerne
Sempach Station,Lucerne
Sigigen,Lucerne
St. Erhard,Lucerne
St. Niklausen LU,Lucerne
St. Urban,Lucerne
Steinhuserberg,Lucerne
Sulz LU,Lucerne
Sursee,Lucerne
Sörenberg,Lucerne
Triengen,Lucerne
Trubschachen,Lucerne
Udligenswil,Lucerne
Uffikon,Lucerne
Ufhusen,Lucerne
Urswil,Lucerne
Vitznau,Lucerne
Wauwil,Lucerne
Weggis,Lucerne
Werthenstein,Lucerne
Wiggen,Lucerne
Wikon,Lucerne
Wilihof,Lucerne
Willisau,Lucerne
Winikon,Lucerne
Wolhusen,Lucerne
Zell LU,Lucerne
Areuse,Neuchâtel
Auvernier,Neuchâtel
Bevaix,Neuchâtel
Boudevilliers,Neuchâtel
Boudry,Neuchâtel
Boveresse,Neuchâtel
Brot-Dessous,Neuchâtel
Brot-Plamboz,Neuchâtel
Buttes,Neuchâtel
Bôle,Neuchâtel
Cernier,Neuchâtel
Chambrelien,Neuchâtel
Champ-du-Moulin,Neuchâtel
Chaumont,Neuchâtel
Chez-le-Bart,Neuchâtel
Chézard-St-Martin,Neuchâtel
Coffrane,Neuchâtel
Colombier NE,Neuchâtel
Corcelles NE,Neuchâtel
Cormondrèche,Neuchâtel
Cornaux NE,Neuchâtel
Cortaillod,Neuchâtel
Couvet,Neuchâtel
Cressier NE,Neuchâtel
Dombresson,Neuchâtel
Enges,Neuchâtel
Engollon,Neuchâtel
Fenin,Neuchâtel
Fleurier,Neuchâtel
Fontainemelon,Neuchâtel
Fontaines NE,Neuchâtel
Fresens,Neuchâtel
Fretereules,Neuchâtel
Gampelen,Neuchâtel
Gorgier,Neuchâtel
Hauterive NE,Neuchâtel
La Brévine,Neuchâtel
La Chaux-de-Fonds,Neuchâtel
La Chaux-du-Milieu,Neuchâtel
La Châtagne,Neuchâtel
La Cibourg,Neuchâtel
La Côte-aux-Fées,Neuchâtel
La Neuveville,Neuchâtel
La Sagne NE,Neuchâtel
La Vue-des-Alpes,Neuchâtel
Le Brouillet,Neuchâtel
Le Cerneux-Péquignot,Neuchâtel
Le Crêt-du-Locle,Neuchâtel
Le Landeron,Neuchâtel
Le Locle,Neuchâtel
Le Prévoux,Neuchâtel
Le Pâquier NE,Neuchâtel
Les Bayards,Neuchâtel
Les Brenets,Neuchâtel
Les Geneveys-sur-Coffrane,Neuchâtel
Les Hauts-Geneveys,Neuchâtel
Les Planchettes,Neuchâtel
Les Ponts-de-Martel,Neuchâtel
Les Sagnettes,Neuchâtel
Les Taillères,Neuchâtel
Les Verrières,Neuchâtel
Les Vieux-Prés,Neuchâtel
Lignières,Neuchâtel
Marin-Epagnier,Neuchâtel
Mont-de-Buttes,Neuchâtel
Montalchez,Neuchâtel
Montezillon,Neuchâtel
Montmollin,Neuchâtel
Môtiers NE,Neuchâtel
Neuchâtel,Neuchâtel
Nods,Neuchâtel
Noiraigue,Neuchâtel
Peseux,Neuchâtel
Petit-Martel,Neuchâtel
Renan BE,Neuchâtel
Rochefort,Neuchâtel
Saules,Neuchâtel
Savagnier,Neuchâtel
St-Aubin-Sauges,Neuchâtel
St-Blaise,Neuchâtel
St-Sulpice NE,Neuchâtel
Thielle,Neuchâtel
Travers,Neuchâtel
Valangin,Neuchâtel
Vaumarcus,Neuchâtel
Vilars NE,Neuchâtel
Villiers,Neuchâtel
Wavre,Neuchâtel
Beckenried,Nidwald
Buochs,Nidwald
Büren NW,Nidwald
Bürgenstock,Nidwald
Dallenwil,Nidwald
Eigenthal,Nidwald
Emmetten,Nidwald
Engelberg,Nidwald
Ennetbürgen,Nidwald
Ennetmoos,Nidwald
Fürigen,Nidwald
